seq,window,n_frames,zero_rate,lowconf_rate
fall-13,"post[0.5,1]",8,0.0,0.0
fall-13,"post[1,2]",0,,
fall-14,"pre[-2,-0.5]",20,0.0,0.0
fall-14,"pre[-0.5,-0.3]",6,0.0,0.0
fall-14,"pre[-0.3,-0.2]",3,0.0,0.0
fall-14,"pre[-0.2,0]",6,0.0,0.0
fall-14,"post[0,0.2]",6,0.0,0.0
fall-14,"post[0.2,0.5]",9,0.0,0.0
fall-14,"post[0.5,1]",11,0.0,0.0
fall-14,"post[1,2]",0,,
fall-15,"pre[-2,-0.5]",32,0.0,0.0
fall-15,"pre[-0.5,-0.3]",6,0.0,0.0
fall-15,"pre[-0.3,-0.2]",3,0.0,0.0
fall-15,"pre[-0.2,0]",6,0.1667,0.1667
fall-15,"post[0,0.2]",6,0.5,0.5
fall-15,"post[0.2,0.5]",9,1.0,1.0
fall-15,"post[0.5,1]",6,1.0,1.0
fall-15,"post[1,2]",0,,
fall-16,"pre[-2,-0.5]",25,0.0,0.0
fall-16,"pre[-0.5,-0.3]",6,0.0,0.0
fall-16,"pre[-0.3,-0.2]",3,0.0,0.0
fall-16,"pre[-0.2,0]",6,0.0,0.0
fall-16,"post[0,0.2]",6,0.0,0.0
fall-16,"post[0.2,0.5]",9,0.0,0.0
fall-16,"post[0.5,1]",0,,
fall-16,"post[1,2]",0,,
fall-17,"pre[-2,-0.5]",45,0.0,0.0
fall-17,"pre[-0.5,-0.3]",6,0.0,0.0
fall-17,"pre[-0.3,-0.2]",3,0.0,0.0
fall-17,"pre[-0.2,0]",6,0.5,0.5
fall-17,"post[0,0.2]",6,0.8333,0.8333
fall-17,"post[0.2,0.5]",9,1.0,1.0
fall-17,"post[0.5,1]",1,1.0,1.0
fall-17,"post[1,2]",0,,
fall-18,"pre[-2,-0.5]",20,0.0,0.0
fall-18,"pre[-0.5,-0.3]",6,0.0,0.0
fall-18,"pre[-0.3,-0.2]",3,0.0,0.0
fall-18,"pre[-0.2,0]",6,0.0,0.0
fall-18,"post[0,0.2]",6,0.1667,0.3333
